rm,tax,lstat,medv
146,NA,403,27.8,13.8
147,5.628,403,16.65,15.6
148,4.926,403,29.53,14.6
149,NA,403,28.32,17.8
150,5.597,403,NA,15.4
151,6.122,403,14.1,21.5
152,5.404,403,13.28,19.6
153,NA,403,12.12,15.3
154,5.709,403,15.79,19.4
155,6.129,403,NA,17
156,6.152,403,15.02,15.6
157,5.272,403,NA,13.1
158,6.943,403,4.59,41.3
159,6.066,403,6.43,24.3
160,6.51,403,7.39,23.3
161,6.25,403,5.5,27
165,5.854,403,11.64,22.7
166,6.101,403,9.81,25
168,5.877,403,12.14,23.8
169,6.319,403,NA,23.8
170,6.402,403,NA,22.3
171,5.875,403,14.43,17.4
172,5.88,403,12.03,19.1
173,5.572,296,14.69,23.1
174,6.416,296,9.04,23.6
175,5.859,296,9.64,22.6
176,6.546,296,NA,29.4
177,6.02,296,10.11,23.2
178,6.315,296,6.29,24.6
179,6.86,296,6.92,29.9
180,6.98,193,5.04,37.2
181,7.765,193,7.56,39.8
182,6.144,193,9.45,36.2
183,7.155,193,4.82,37.9
184,6.563,193,5.68,32.5
185,5.604,193,13.98,26.4
186,NA,193,13.15,29.6
188,6.782,398,6.68,32
189,6.556,398,4.56,29.8
190,7.185,398,5.39,34.9
191,6.951,398,5.1,37
192,6.739,398,4.69,30.5
193,7.178,398,2.87,36.4
194,NA,265,5.03,31.1
195,NA,265,4.38,29.1
197,7.287,329,4.08,33.3
198,7.107,329,8.61,30.3
199,NA,329,6.62,34.6
200,NA,402,4.56,34.9
201,7.135,402,4.45,32.9
202,NA,348,7.43,24.1
203,7.61,348,3.11,42.3
204,7.853,224,3.81,48.5
206,5.891,277,10.87,22.6
207,6.326,277,10.97,24.4
208,5.783,277,18.06,22.5
209,6.064,277,14.66,24.4
210,5.344,277,23.09,20
211,5.96,277,17.27,21.7
212,5.404,277,23.98,19.3
213,5.807,277,16.03,22.4
214,NA,277,9.38,28.1
215,5.412,277,NA,23.7
216,6.182,277,9.47,25
217,5.888,276,13.51,23.3
218,6.642,276,9.69,28.7
219,5.951,276,17.92,21.5
220,6.373,276,10.5,23
221,6.951,307,9.71,26.7
222,6.164,307,21.46,21.7
223,6.879,307,9.93,27.5
224,6.618,307,7.6,30.1
225,NA,307,4.14,44.8
227,8.04,307,3.13,37.6
228,7.163,307,6.36,31.6
229,7.686,307,3.92,46.7
230,6.552,307,3.76,31.5
231,5.981,307,11.65,24.3
232,7.412,307,5.25,31.7
233,NA,307,2.47,41.7
234,8.247,307,3.95,48.3
235,6.726,307,NA,29
236,6.086,307,10.88,24
237,6.631,307,9.54,25.1
238,7.358,307,4.73,31.5
239,6.481,300,6.36,23.7
240,NA,300,NA,23.3
241,6.897,300,11.38,22
242,6.095,300,12.4,20.1
243,6.358,300,11.22,22.2
244,6.393,300,5.19,23.7
245,5.593,330,12.5,17.6
246,NA,330,18.46,18.5
247,6.108,330,9.16,24.3
248,6.226,330,NA,20.5
249,6.433,330,9.52,24.5
250,6.718,330,6.56,26.2
251,6.487,330,5.9,24.4
252,6.438,330,NA,24.8
253,6.957,330,3.53,29.6
254,8.259,330,3.54,42.8
255,6.108,315,6.57,21.9
256,5.876,315,9.25,20.9
257,7.454,244,3.11,44
259,NA,264,7.79,36
260,6.842,264,6.9,30.1
261,7.203,264,9.59,33.8
262,7.52,264,7.26,43.1
263,8.398,264,5.91,48.8
264,NA,264,11.25,31
265,7.206,264,NA,36.5
266,NA,264,10.45,22.8
267,7.014,264,14.79,30.7
269,7.47,264,3.16,43.5
270,5.92,223,13.65,20.7
271,5.856,223,NA,21.1
272,6.24,223,6.59,25.2
273,6.538,223,7.73,24.4
274,7.691,223,6.58,35.2
275,6.758,254,NA,32.4
276,6.854,254,2.98,32
277,7.267,254,6.05,33.2
278,NA,254,4.16,33.1
279,6.482,254,7.19,29.1
280,6.812,216,4.85,35.1
281,7.82,216,3.76,45.4
282,6.968,216,4.59,35.4
283,7.645,216,3.01,46
285,7.088,285,7.85,32.2
286,6.453,300,8.23,22
287,6.23,241,12.93,20.1
288,6.209,293,7.14,23.2
289,6.315,293,7.6,22.3
290,6.565,293,9.51,24.8
291,6.861,245,3.33,28.5
292,7.148,245,3.56,37.3
293,6.63,245,NA,27.9
294,NA,289,8.58,23.9
295,6.009,289,10.4,21.7
296,6.678,289,6.27,28.6
297,6.549,289,7.39,27.1
298,5.79,289,15.84,20.3
299,6.345,358,4.97,22.5
300,7.041,358,4.74,29
301,6.871,358,6.07,24.8
302,6.59,329,9.5,22
303,6.495,329,8.67,26.4
304,6.982,329,4.86,33.1
305,7.236,222,NA,36.1
306,6.616,222,8.93,28.4
307,7.42,222,6.47,33.4
308,NA,222,7.53,28.2
309,6.635,304,4.54,22.8
310,5.972,304,9.97,20.3
311,4.973,304,12.64,16.1
312,6.122,304,5.98,22.1
313,6.023,304,11.72,19.4
314,6.266,304,7.9,21.6
315,6.567,304,9.28,23.8
316,5.705,304,11.5,16.2
317,5.914,304,18.33,17.8
318,5.782,304,15.94,19.8
319,6.382,304,10.36,23.1
320,6.113,304,NA,21
321,6.426,287,7.2,23.8
322,NA,287,6.87,23.1
323,6.041,287,7.7,20.4
324,5.708,287,11.74,18.5
325,6.415,287,6.12,25
326,6.431,287,5.08,24.6
327,6.312,287,6.15,23
328,NA,287,12.79,22.2
329,5.868,430,9.97,19.3
330,6.333,430,NA,22.6
331,6.144,430,9.09,19.8
332,5.706,304,NA,17.1
333,6.031,304,NA,19.4
334,6.316,224,NA,22.2
335,6.31,224,6.75,20.7
336,6.037,224,8.01,21.1
337,5.869,224,9.8,19.5
338,5.895,224,10.56,18.5
339,6.059,224,8.51,20.6
340,5.985,224,9.74,19
341,5.968,224,NA,18.7
342,7.241,284,5.49,32.7
343,6.54,422,8.65,16.5
344,6.696,370,7.18,23.9
345,6.874,370,4.61,31.2
346,NA,352,10.53,17.5
347,5.898,352,12.67,17.2
348,6.516,351,6.36,23.1
349,NA,280,5.99,24.5
350,6.939,335,5.89,26.6
351,6.49,335,5.98,22.9
352,6.579,411,NA,24.1
353,5.884,411,7.79,18.6
354,6.728,187,NA,30.1
355,5.663,334,8.05,18.2
356,NA,334,NA,20.6
357,6.212,666,17.6,17.8
358,6.395,666,13.27,21.7
359,6.127,666,11.48,22.7
360,NA,666,12.67,22.6
361,NA,666,7.79,25
362,6.251,666,NA,19.9
363,5.362,666,NA,20.8
364,5.803,666,14.64,16.8
365,8.78,666,5.29,21.9
366,3.561,666,7.12,27.5
367,NA,666,NA,21.9
368,NA,666,13.33,23.1
374,4.906,666,34.77,13.8
375,4.138,666,37.97,13.8
376,7.313,666,13.44,15
377,6.649,666,NA,13.9
378,6.794,666,21.24,13.3
379,6.38,666,23.69,13.1
380,6.223,666,21.78,10.2
381,6.968,666,NA,10.4
382,NA,666,NA,10.9
383,5.536,666,23.6,11.3
384,5.52,666,24.56,12.3
385,4.368,666,30.63,8.8
386,5.277,666,30.81,7.2
387,4.652,666,28.28,10.5
388,5,666,31.99,7.4
389,4.88,666,30.62,10.2
390,NA,666,20.85,11.5
391,5.713,666,17.11,15.1
392,6.051,666,18.76,23.2
393,5.036,666,25.68,9.7
394,6.193,666,15.17,13.8
395,5.887,666,16.35,12.7
396,6.471,666,17.12,13.1
397,6.405,666,19.37,12.5
398,NA,666,19.92,8.5
399,5.453,666,30.59,5
400,5.852,666,29.97,6.3
401,5.987,666,26.77,5.6
402,6.343,666,20.32,7.2
403,NA,666,20.31,12.1
404,5.349,666,19.77,8.3
405,NA,666,27.38,8.5
406,5.683,666,NA,5
407,4.138,666,23.34,11.9
408,NA,666,12.13,27.9
409,5.617,666,26.4,17.2
410,6.852,666,19.78,27.5
411,5.757,666,10.11,15
412,6.657,666,21.22,17.2
413,4.628,666,34.37,17.9
414,5.155,666,NA,16.3
415,4.519,666,36.98,7
416,6.434,666,29.05,7.2
417,NA,666,NA,7.5
418,5.304,666,26.64,10.4
419,5.957,666,20.62,8.8
420,6.824,666,22.74,8.4
421,6.411,666,15.02,16.7
422,6.006,666,NA,14.2
423,5.648,666,14.1,20.8
424,6.103,666,NA,13.4
425,NA,666,17.16,11.7
426,NA,666,24.39,8.3
427,NA,666,15.69,10.2
428,6.202,666,14.52,10.9
429,6.193,666,21.52,11
430,6.38,666,24.08,9.5
431,NA,666,NA,14.5
432,6.833,666,19.69,14.1
433,6.425,666,12.03,16.1
434,NA,666,16.22,14.3
435,6.208,666,15.17,11.7
436,6.629,666,23.27,13.4
437,6.461,666,18.05,9.6
438,6.152,666,26.45,8.7
439,5.935,666,34.02,8.4
440,5.627,666,22.88,12.8
441,5.818,666,22.11,10.5
442,6.406,666,19.52,17.1
443,6.219,666,16.59,18.4
444,NA,666,18.85,15.4
445,5.854,666,23.79,10.8
446,6.459,666,23.98,11.8
447,6.341,666,NA,14.9
448,6.251,666,16.44,12.6
449,6.185,666,18.13,14.1
450,6.417,666,19.31,13
451,6.749,666,17.44,13.4
452,6.655,666,17.73,15.2
453,6.297,666,17.27,16.1
454,NA,666,16.74,17.8
455,6.728,666,18.71,14.9
456,6.525,666,18.13,14.1
457,NA,666,19.01,12.7
458,5.936,666,NA,13.5
459,6.301,666,NA,14.9
460,6.081,666,14.7,20
461,6.701,666,16.42,16.4
462,6.376,666,14.65,17.7
463,6.317,666,NA,19.5
464,6.513,666,10.29,20.2
465,6.209,666,13.22,21.4
466,5.759,666,NA,19.9
467,5.952,666,NA,19
468,6.003,666,21.32,19.1
469,NA,666,18.13,19.1
470,5.713,666,14.76,20.1
471,NA,666,16.29,19.9
472,6.229,666,12.87,19.6
473,6.437,666,14.36,23.2
474,NA,666,11.66,29.8
475,5.427,666,18.14,13.8
476,6.162,666,24.1,13.3
477,6.484,666,18.68,16.7
478,5.304,666,24.91,12
479,6.185,666,18.03,14.6
480,6.229,666,13.11,21.4
481,6.242,666,NA,23
482,NA,666,NA,23.7
483,7.061,666,7.01,25
484,NA,666,10.42,21.8
485,5.871,666,13.34,20.6
486,6.312,666,10.58,21.2
487,6.114,666,14.98,19.1
488,NA,666,NA,20.6
489,5.454,711,18.06,15.2
490,NA,711,23.97,7
491,5.093,711,29.68,8.1
492,NA,711,18.07,13.6
493,NA,711,13.35,20.1
494,5.707,391,12.01,21.8
495,5.926,391,13.59,24.5
496,NA,391,17.6,23.1
497,5.39,391,21.14,19.7
498,5.794,391,NA,18.3
499,6.019,391,12.92,21.2
500,5.569,391,15.1,17.5
501,6.027,391,NA,16.8
502,6.593,273,9.67,22.4
503,6.12,273,9.08,20.6
504,6.976,273,5.64,23.9
505,6.794,273,6.48,22
506,6.03,273,7.88,11.9
